"word"	"syll_seq"	"syll_text"	"syll_dscr"
"cfCDik-qk"	"1"	"cf"	"handshape"
"cfCDik-qk"	"2"	"CD"	"location"
"cfCDik-qk"	"3"	"ik"	"palm_facing"
"cfCDik-qk"	"4"	"-"	"syllable_separator"
"cfCDik-qk"	"5"	"qk"	"movement"
"cffnCik-hv"	"1"	"cffn"	"handshape"
"cffnCik-hv"	"2"	"C"	"location"
"cffnCik-hv"	"3"	"ik"	"palm_facing"
"cffnCik-hv"	"4"	"-"	"syllable_separator"
"cffnCik-hv"	"5"	"hv"	"movement"
"cffnik-hkv"	"1"	"cffn"	"handshape"
"cffnik-hkv"	"2"	"ik"	"palm_facing"
"cffnik-hkv"	"3"	"-"	"syllable_separator"
"cffnik-hkv"	"4"	"hkv"	"movement"
"cffnik-qe"	"1"	"cffn"	"handshape"
"cffnik-qe"	"2"	"ik"	"palm_facing"
"cffnik-qe"	"3"	"-"	"syllable_separator"
"cffnik-qe"	"4"	"qe"	"movement"
"cffnik-qy-cn"	"1"	"cffn"	"handshape"
"cffnik-qy-cn"	"2"	"ik"	"palm_facing"
"cffnik-qy-cn"	"3"	"-"	"syllable_separator"
"cffnik-qy-cn"	"4"	"qy"	"movement"
"cffnik-qy-cn"	"5"	"-"	"syllable_separator"
"cffnik-qy-cn"	"6"	"cn"	"handshape"
"cffnik-Thvcz"	"1"	"cffn"	"handshape"
"cffnik-Thvcz"	"2"	"ik"	"palm_facing"
"cffnik-Thvcz"	"3"	"-"	"syllable_separator"
"cffnik-Thvcz"	"4"	"Thvc"	"movement"
"cffnik-Thvcz"	"5"	"z"	"repetition"
"cffnWKDiM-hv-qk-qy"	"1"	"cffn"	"handshape"
"cffnWKDiM-hv-qk-qy"	"2"	"WKD"	"location"
"cffnWKDiM-hv-qk-qy"	"3"	"iM"	"palm_facing"
"cffnWKDiM-hv-qk-qy"	"4"	"-"	"syllable_separator"
"cffnWKDiM-hv-qk-qy"	"5"	"hv"	"movement"
"cffnWKDiM-hv-qk-qy"	"6"	"-"	"syllable_separator"
"cffnWKDiM-hv-qk-qy"	"7"	"qk"	"movement"
"cffnWKDiM-hv-qk-qy"	"8"	"-"	"syllable_separator"
"cffnWKDiM-hv-qk-qy"	"9"	"qy"	"movement"
"CfnCh^DM-qv-rfn"	"1"	"cfn"	"handshape"
